epoch,train_loss,eval_loss,eval_accuracy,eval_f1_weighted,eval_f1_macro
1,0.6572804292684491,0.16201392553812344,0.9580573951434879,0.9586612128295026,0.9542671166827388
2,0.10151273676679443,0.1028949479810434,0.9757174392935982,0.975937566847745,0.9721467625304551
3,0.03766049208118483,0.05300372665786976,0.9823399558498896,0.9824026243475503,0.9738538970999725
4,0.011866535731358967,0.08506313663556564,0.977924944812362,0.9780370975602763,0.9741645021645021
5,0.007400533104164805,0.07123750134520972,0.9845474613686535,0.9845969925232227,0.9802142064020812
