Training Fraction,Training Examples,Accuracy,Precision,Recall,F1-score,Training Time (seconds)
0.25,452,0.9271523178807947,0.9299958095911637,0.9271523178807947,0.9276705634321528,33.63506007194519
0.5,905,0.9646799116997793,0.9656050949325691,0.9646799116997793,0.9649215806428592,67.68349289894104
0.75,1359,0.9470198675496688,0.9519940245974379,0.9470198675496688,0.9463347527227071,113.6321017742157
1.0,1811,0.9646799116997793,0.9647904540746562,0.9646799116997793,0.9647248282040722,152.93295907974243
