Model,F1 weighted,F1 macro,F1 negative,F1 neutral,F1 positive,Gap (weighted - macro)
Fine-tuned DistilBERT,0.9713074285259714,0.9606635206635206,0.9523809523809523,0.9873873873873874,0.9422222222222222,0.010643907862450841
FinBERT,0.9694512513670558,0.962915313063392,0.959349593495935,0.9798165137614679,0.9495798319327731,0.006535938303663835
TF-IDF + LogReg,0.859022796323527,0.8050952436792943,0.7254901960784313,0.9283276450511946,0.7614678899082569,0.05392755264423266
Fine-tuned BERT-large,0.46677115324799257,0.25353397172822617,0.0,0.7606019151846786,0.0,0.2132371815197664
General Model,0.13945654260306936,0.2439865680575423,0.3824451410658307,0.0,0.34951456310679613,-0.10453002545447293
