Model,Accuracy,Precision,Recall,F1-score,Time (seconds),Memory (MB)
General Model,0.25386313465783666,0.10152695670946095,0.25386313465783666,0.13945654260306936,7.143648147583008,306.15625
Fine-tuned DistilBERT,0.9713024282560706,0.9716594411647845,0.9713024282560706,0.9713074285259714,5.545428276062012,2053.0625
Fine-tuned BERT-large,0.6136865342163356,0.3766111622784576,0.6136865342163356,0.46677115324799257,15.66961121559143,384.1875
FinBERT,0.9690949227373068,0.9711600085451827,0.9690949227373068,0.9694512513670558,8.276455879211426,776.078125
