Model,Accuracy,Precision,Recall,F1-score,Time (seconds),Memory (MB)
General Model,0.2538631346578366,0.1015269567094609,0.2538631346578366,0.1394565426030693,7.143648147583008,306.15625
Fine-tuned DistilBERT,0.9713024282560706,0.9716594411647844,0.9713024282560706,0.9713074285259714,5.545428276062012,2053.0625
Fine-tuned BERT-large,0.6136865342163356,0.3766111622784576,0.6136865342163356,0.4667711532479925,15.66961121559143,384.1875
FinBERT,0.9690949227373068,0.9711600085451828,0.9690949227373068,0.9694512513670558,8.276455879211426,776.078125
TF-IDF + LogReg (baseline),0.8653421633554084,0.8643179762142773,0.8653421633554084,0.859022796323527,0.005527019500732422,32.6875
